10101	99991231	93783	BUY
10101	99991231	12884	BVE
10101	99991231	04813	BVI
10101	99991231	26645	BVK
10101	99991231	54921	BVN
10101	99991231	03959	BVO
10101	99991231	94282	BVS
10101	99991231	53934	BVX
10101	99991231	54733	BVY
10101	99991231	93943	BWD
10101	99991231	93808	BWG
19790601	99991231	93721	BWI
10101	99991231	54922	BWP
10101	99991231	26416	BYA
10101	99991231	94054	BYG
10101	99991231	13814	BYH
10101	99991231	24133	BYI
10101	99991231	03182	BYS
20030327	99991231	12981	BYY
10101	99991231	24132	BZN
10101	99991231	04867	C09
19691101	19960621	04839	C19
10101	99991231	04868	C75
10101	99991231	93096	C96
10101	99991231	14817	CAD
10101	99991231	13883	CAE
10101	99991231	24046	CAG
10101	99991231	14895	CAK
10101	99991231	23051	CAO
10101	99991231	14607	CAR
10101	99991231	04907	CAV
10101	99991231	03732	CBE
10101	99991231	04908	CBF
10101	99991231	04909	CBG
10101	99991231	03037	CBK
10101	99991231	13825	CBM
10101	99991231	53884	CCO
10101	99991231	23254	CCR
10101	99991231	03038	CCU
10101	99991231	14966	CCY
10101	99991231	25624	CDB
10101	99991231	93129	CDC
10101	99991231	94977	CDD
10101	99991231	25315	CDE
10101	99991231	53916	CDJ
10101	99991231	26619	CDL
10101	99991231	24017	CDR
10101	99991231	23007	CDS
10101	99991231	26410	CDV
10101	99991231	54743	CDW
10101	99991231	24286	CEC
10101	99991231	14703	CEF
10101	99991231	26418	CEM
10101	99991231	53850	CEU
10101	99991231	13884	CEW
10101	99991231	93069	CEZ
10101	99991231	54901	CFE
10101	99991231	54828	CFS
10101	99991231	93967	CFV
10101	99991231	25317	CGA
10101	99991231	04805	CGF
10101	99991231	03935	CGI
10101	99991231	94866	CGX
10101	99991231	03914	CGZ
10101	99991231	13882	CHA
19390301	19740801	26417	CHB
19740528	19830720	94943	CHB
10101	99991231	53128	CHD
10101	99991231	14684	CHH
10101	99991231	53935	CHK
10101	99991231	93736	CHO
10101	99991231	26419	CHP
10101	99991231	13880	CHS
10101	99991231	13727	CHY
10101	99991231	23201	CIC
10101	99991231	93203	CIC
10101	99991231	14990	CID
10101	99991231	23071	CIE
10101	99991231	04910	CIN
10101	99991231	93809	CIR
10101	99991231	04869	CIU
10101	99991231	93798	CJR
10101	99991231	03802	CKB
10101	99991231	04911	CKC
10101	99991231	03881	CKL
10101	99991231	04912	CKN
10101	99991231	54920	CKP
10101	99991231	25505	CKS
10101	99991231	03894	CKV
10101	99991231	14820	CLE
10101	99991231	54832	CLI
10101	99991231	13999	CLK
10101	99991231	03904	CLL
10101	99991231	94266	CLM
10101	99991231	13881	CLT
10101	99991231	23136	CMA
10101	99991231	14821	CMH
10101	99991231	94870	CMI
10101	99991231	14858	CMX
10101	99991231	94940	CMY
10101	99991231	54923	CNB
10101	99991231	04913	CNC
10101	99991231	13984	CNK
10101	99991231	23086	CNM
10101	99991231	93033	CNM
10101	99991231	03179	CNO
10101	99991231	13981	CNU
10101	99991231	93075	CNY
10101	99991231	03068	CO90
10101	99991231	24045	COD
10101	99991231	24136	COE
10101	99991231	12867	COF
10101	99991231	14745	CON
10101	99991231	04914	COQ
10101	99991231	93037	COS
10101	99991231	12947	COT
10101	99991231	03945	COU
10101	99991231	13983	COU
10101	99991231	93799	CPC
10101	99991231	03701	CPK
10101	99991231	24089	CPR
10101	99991231	03960	CPS
10101	99991231	53981	CPT
10101	99991231	03039	CPW
10101	99991231	53936	CQB
10101	99991231	03027	CQC
10101	99991231	54905	CQM
10101	99991231	93134	CQT
10101	99991231	94199	CQV
19921201	99991231	94624	CQX
10101	99991231	26446	CRC
10101	99991231	93718	CRE
10101	99991231	53860	CRG
10101	99991231	12924	CRP
10101	99991231	03177	CRQ
10101	99991231	53912	CRS
10101	99991231	13866	CRW
10101	99991231	12879	CSB
19600101	19740901	25401	CSE
10101	99991231	93842	CSG
10101	99991231	25622	CSH
10101	99991231	03932	CSM
10101	99991231	25316	CSP
10101	99991231	04915	CSQ
10101	99991231	03847	CSV
10101	99991231	23151	CSY
10101	99991231	24137	CTB
10101	99991231	26636	CTH
10101	99991231	12833	CTY
10101	99991231	03727	CTZ
10101	99991231	53867	CUB
10101	99991231	26530	CUG
10101	99991231	53993	CUH
10101	99991231	63840	CUL
19990128	99991231	94032	CUT
10101	99991231	93829	CVD
10101	99991231	93814	CVG
10101	99991231	23077	CVN
10101	99991231	24202	CVO
10101	99991231	23008	CVS
10101	99991231	04870	CVX
10101	99991231	94890	CWA
10101	99991231	13941	CWF
10101	99991231	94979	CWI
10101	99991231	53902	CXO
19870515	99991231	14751	CXY
10101	99991231	24018	CYS
19430301	19840101	26445	CYT
10101	99991231	94034	CZD
10101	99991231	26633	CZF
10101	99991231	26646	CZF
10101	99991231	94204	CZK
10101	99991231	03164	CZZ
10101	99991231	94056	D07
10101	99991231	94944	D45
10101	99991231	93728	DAA
10101	99991231	12834	DAB
10101	99991231	23161	DAG
10101	99991231	13960	DAL
10101	99991231	13728	DAN
10101	99991231	54791	DAW
10101	99991231	93815	DAY
10101	99991231	63881	DBN
10101	99991231	94908	DBQ
10101	99991231	24140	DBS
10101	99991231	13743	DCA
10101	99991231	53852	DCU
10101	99991231	13985	DDC
19981020	99991231	54781	DDH
20000605	20110707	26486	DDT
10101	99991231	03887	DEC
10101	99991231	26643	DEE
10101	99991231	04916	DEH
10101	99991231	03017	DEN
19760101	19950228	23062	DEN
10101	99991231	53925	DEQ
10101	99991231	14822	DET
19990128	99991231	94119	DEW
10101	99991231	25515	DFB
10101	99991231	04851	DFI
10101	99991231	03927	DFW
10101	99991231	26649	DGG
10101	99991231	94057	DGW
10101	99991231	94909	DHL
10101	99991231	13839	DHN
10101	99991231	93843	DHN
10101	99991231	93042	DHT
10101	99991231	04135	DIJ
10101	99991231	24012	DIK
10101	99991231	04871	DKB
10101	99991231	14747	DKK
10101	99991231	03073	DKR
10101	99991231	22001	DLF
10101	99991231	25513	DLG
10101	99991231	14913	DLH
10101	99991231	54833	DLL
19670101	19730619	24138	DLN
19740404	19920801	24138	DLN
19970514	99991231	24138	DLN
10101	99991231	24219	DLS
10101	99991231	23109	DMA
10101	99991231	93784	DMH
10101	99991231	23078	DMN
10101	99991231	03994	DMO
10101	99991231	03724	DMW
10101	99991231	94984	DMX
10101	99991231	13837	DNL
10101	99991231	53885	DNN
19950228	99991231	23062	DNR
10101	99991231	04917	DNS
10101	99991231	94891	DNV
10101	99991231	13707	DOV
10101	99991231	94878	DPA
10101	99991231	94892	DPA
10101	99991231	24103	DPG
10101	99991231	03702	DPL
10101	99991231	63842	DQH
10101	99991231	03160	DRA
10101	99991231	03976	DRI
10101	99991231	54844	DRM
10101	99991231	93005	DRO
10101	99991231	22010	DRT
10101	99991231	23105	DSC
10101	99991231	24277	DSI
10101	99991231	14933	DSM
10101	99991231	94704	DSV
10101	99991231	23162	DTA
10101	99991231	94962	DTL
10101	99991231	53905	DTN
10101	99991231	03991	DTO
10101	99991231	53853	DTS
10101	99991231	94847	DTW
10101	99991231	53937	DUA
10101	99991231	53938	DUC
10101	99991231	93026	DUG
10101	99991231	04872	DUH
10101	99991231	04787	DUJ
10101	99991231	25616	DUT
10101	99991231	03070	DUX
10101	99991231	94928	DVL
10101	99991231	94982	DVN
10101	99991231	54924	DVP
10101	99991231	03184	DVT
10101	99991231	13813	DWF
10101	99991231	53910	DWH
10101	99991231	54734	DXR
10101	99991231	04918	DXX
10101	99991231	54786	DYL
10101	99991231	03809	DYR
10101	99991231	13910	DYS
10101	99991231	04919	DYT
19690801	19840310	03101	E03
20030401	20030519	53965	E15
10101	99991231	93077	E23
10101	99991231	03001	E28
10101	99991231	93094	E28
10101	99991231	93092	E33
10101	99991231	03049	E38
10101	99991231	93079	E74
10101	99991231	26422	EAA
10101	99991231	14905	EAR
10101	99991231	94239	EAT
10101	99991231	14991	EAU
10101	99991231	03983	EAX
10101	99991231	12983	EBG
10101	99991231	04920	EBS
10101	99991231	13786	ECG
10101	99991231	13787	ECG
10101	99991231	73805	ECP
10101	99991231	23098	ECU
10101	99991231	03703	EDE
10101	99991231	26401	EDF
10101	99991231	03197	EDW
10101	99991231	23114	EDW
10101	99991231	23179	EED
10101	99991231	94721	EEN
10101	99991231	94050	EEO
10101	99991231	53864	EET
10101	99991231	12906	EFD
19330301	19510315	93816	EFF
10101	99991231	54758	EFK
10101	99991231	04873	EFT
10101	99991231	23063	EGE
10101	99991231	03844	EGI
10101	99991231	54838	EGV
19920101	99991231	93076	EHA
10101	99991231	25623	EHM
10101	99991231	63843	EHO
10101	99991231	53886	EHR
